Cross-Site Migration Probabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
"Probability of re-locating from one site to another, by life stage",,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note:  Row Totals MUST sum to 1.  Column totals do not need to sum to 1.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fry,,To Site,,,,,,,,,,run-run,year-year,site-site ,within-Site,Future Target,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Alpha.R,Alpha.T,Alpha.S,Alpha,1,2,3,4,5,6,7,8,9,10,Rate Parameter
,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.39,0.56,0.05,0,0,0,0,0,0,0,0
From Site,2,0.011,0.989,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0
,3,0.18,0,0.82,0,0,0,0,0,0,0,99,99,9999,9999,0,0.55,0.45,0,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parr,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.93,0.05,0.01,0.01,0,0,0,0,0,0,0
From Site,2,0.0104,0.9846,0.005,0,0,0,0,0,0,0,99,99,9999,9999,0,0.99,0,0.01,0,0,0,0,0,0,0
,3,0.03,0.02,0.95,0,0,0,0,0,0,0,99,99,9999,9999,0,0.07,0.91,0.02,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
PreSmolts,1,0.462,0,0,0.538,0,0,0,0,0,0,99,99,9999,9999,0.81,0,0,0.19,0,0,0,0,0,0,0
From Site,2,0.058,0.32,0.005,0.617,0,0,0,0,0,0,99,99,9999,9999,0,0.69,0,0.31,0,0,0,0,0,0,0
,3,0.41,0.02,0.158,0.412,0,0,0,0,0,0,99,99,9999,9999,0,0,0.77,0.23,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Returning Spawners,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.9,0,0.1,0,0,0,0,0,0,0,0
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0.65,0,0.35,0,0,0,0,0,0,0,0
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0.05,0,0.95,0,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
